mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
404,22,55719,63771405,18.5409644,73.7294852,-77,1774195864256,6.0,1.1262509,114.91176,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5409384,73.7295277,-65,1774195868919,6.5,1.108068,134.86981,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5408864,73.729561,-75,1774195873619,7.7,1.1857903,129.60071,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5408362,73.7296084,-75,1774195879017,6.5,1.2699807,146.74529,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5407829,73.7296488,-76,1774195883777,5.5,1.2848215,130.64174,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5407289,73.7296794,-72,1774195888458,5.6,1.2898182,147.08862,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5406889,73.7296958,-75,1774195893160,5.5,1.1584107,133.97867,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5406477,73.7297281,-81,1774195898037,5.9,1.1708276,160.62779,LTE,3,,55719,170,,,
404,22,55719,14135819,18.540599,73.7297361,-80,1774195903179,5.7,1.111763,214.16595,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5405611,73.7297286,-71,1774195908055,5.2,1.0187511,204.97803,LTE,2,,55719,90,,,
404,22,55719,14135819,18.540545,73.7297184,-67,1774195912679,5.9,0.90654874,238.74088,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5405418,73.7297066,-69,1774195917349,5.7,0.6857548,56.2496,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5405239,73.72971,-80,1774195922355,8.2,0.8898729,160.98889,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404771,73.7297246,-84,1774195927019,8.8,0.8693379,198.5559,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5404649,73.7297234,-98,1774195931559,8.5,0.478877,108.0605,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404432,73.7297194,-101,1774195936115,6.9,0.82791895,153.20808,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404197,73.729714,-101,1774195941297,7.9,0.6602489,181.45044,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404577,73.729709,-103,1774195946554,7.9,0.065038845,0.0,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404508,73.729709,-103,1774195951598,6.7,0.021370536,0.0,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404311,73.7297109,-102,1774195956641,6.1,0.043232445,0.0,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404242,73.7297127,-111,1774195962313,6.9,0.22272632,203.27434,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5404195,73.7297137,-120,1774195966963,7.0,0.16929267,189.99377,LTE,3,,55719,90,,,
